detection_id,frame_number,x_top_left,y_top_left,width,height,bb_id
125,1,406,298,113,219,id:22
126,1,264,273,138,279,id:23
131,1,782,257,313,371,id:5
132,1,83,221,243,449,id:2
133,1,531,282,236,310,id:12
0,2,113,208,264,473,id:10
1,3,125,229,262,440,id:3
109,3,438,289,79,235,id:7
119,3,524,281,226,313,id:1
2,4,511,264,203,329,id:1
3,4,129,223,313,447,id:3
4,4,381,308,101,217,id:4
110,4,441,277,99,289,id:8
5,5,486,285,204,291,id:1
111,5,337,246,145,313,id:9
6,6,472,282,206,294,id:1
112,6,123,209,347,467,id:10
7,7,217,236,208,426,id:3
113,7,476,277,158,345,id:11
8,8,441,285,199,293,id:1
9,8,227,238,213,424,id:3
10,8,400,310,101,216,id:4
11,9,426,284,195,293,id:1
114,9,138,194,360,475,id:12
12,12,430,294,182,280,id:1
117,12,262,218,242,445,id:15
13,13,442,306,171,269,id:1
118,13,268,205,257,461,id:16
14,14,427,280,174,313,id:1
15,19,426,233,236,440,id:3
16,20,431,234,246,443,id:3
17,22,361,236,407,443,id:3
18,23,427,270,139,292,id:1
19,23,406,234,323,437,id:3
20,23,271,274,138,307,id:4
21,24,442,288,153,266,id:1
22,24,472,232,263,451,id:3
23,24,241,274,148,305,id:4
24,25,453,287,152,267,id:1
25,25,491,230,259,453,id:3
26,25,222,276,159,302,id:4
27,26,467,311,143,244,id:1
28,26,517,228,251,455,id:3
29,26,205,279,169,300,id:4
30,27,469,313,141,241,id:1
31,28,480,303,149,254,id:1
32,29,483,303,148,253,id:1
33,30,496,307,148,249,id:1
34,30,612,229,228,453,id:3
35,30,172,275,189,303,id:4
36,31,503,302,153,253,id:1
37,31,635,228,234,455,id:3
38,32,526,305,148,249,id:1
39,32,654,231,239,451,id:3
40,33,548,308,145,244,id:1
41,33,666,235,247,447,id:3
42,33,145,276,181,300,id:4
43,34,573,306,137,235,id:1
44,34,671,236,257,447,id:3
45,34,71,270,210,336,id:4
46,35,592,309,130,225,id:1
47,35,677,238,265,446,id:3
48,36,587,306,137,241,id:1
49,36,687,238,270,447,id:3
50,37,592,306,139,248,id:1
51,38,605,306,142,250,id:1
52,38,712,236,272,447,id:3
53,39,611,308,146,250,id:1
54,39,734,233,268,449,id:3
55,39,71,263,228,360,id:4
56,40,614,308,150,250,id:1
57,40,750,233,268,449,id:3
58,41,614,297,160,262,id:1
59,42,618,298,161,262,id:1
60,42,805,227,258,453,id:3
61,43,621,301,162,259,id:1
62,43,831,226,251,457,id:3
63,44,628,300,162,261,id:1
64,45,644,306,154,252,id:1
65,46,654,304,152,253,id:1
66,46,891,228,259,457,id:3
67,46,235,262,207,364,id:4
68,47,662,304,152,253,id:1
69,48,696,307,140,236,id:1
70,48,915,233,267,453,id:3
71,48,249,267,219,362,id:4
72,49,706,308,139,234,id:1
73,49,921,233,274,455,id:3
74,49,256,266,224,365,id:4
75,50,658,299,149,246,id:1
76,50,930,236,277,451,id:3
77,50,268,267,226,366,id:4
78,51,694,303,147,248,id:1
79,51,946,233,278,455,id:3
80,51,283,265,225,369,id:4
81,52,720,308,145,247,id:1
82,52,963,230,275,457,id:3
83,53,732,312,147,246,id:1
84,53,984,229,267,457,id:3
85,54,738,312,147,247,id:1
86,54,1008,225,260,463,id:3
87,54,362,262,209,371,id:4
88,55,741,310,150,248,id:1
89,56,750,310,149,249,id:1
90,57,753,310,149,249,id:1
91,58,765,308,145,251,id:1
92,58,1081,221,198,466,id:3
93,58,450,267,212,365,id:4
94,59,776,314,137,244,id:1
95,60,791,316,132,242,id:1
96,60,1088,224,191,463,id:3
97,60,467,274,228,361,id:4
98,61,800,317,132,241,id:1
99,61,1091,229,188,460,id:3
100,64,843,318,136,243,id:1
101,64,528,273,231,364,id:4
102,65,852,316,140,243,id:1
103,66,862,317,141,243,id:1
104,67,859,317,146,244,id:1
105,69,867,322,153,241,id:1
106,70,865,321,157,243,id:1
